SampleID Num_reads Num_R1 Num_R2 Num_Paired Num_MateMapped Num_Singletons Num_MateMappedDiffChr Coverage_depth
2101_14_I	2895298	1446539	1448759	1849606	2669448	55380	795868	2.56564
2101_46_K	2604611	1301354	1303257	1673044	2395726	50262	700674	2.54627
2101_46_O	2255364	1126596	1128768	1488204	2089482	40965	584552	2.52563
2101_47_K	3119349	1559034	1560315	2066480	2884728	55212	793292	2.86949
2101_49_K	3190130	1593981	1596149	2055732	2935342	60080	851776	2.79107
2101_49_L	2936154	1467184	1468970	1975536	2718310	48328	714134	2.86668
2101_50_M	3317631	1657551	1660080	2195388	3061994	53403	839870	2.96065
2103_36_A	2781757	1390231	1391526	1855132	2573692	49288	696856	2.72277
2103_36_B	3182998	1590639	1592359	2143086	2945932	50844	776868	2.92708
2103_36_C	2095949	1047333	1048616	1411884	1944702	35473	518086	2.53157
2103_36_E	2500987	1249642	1251345	1669954	2309080	40551	618436	2.72369
2103_38_B	3063325	1530058	1533267	1979984	2823572	60156	817338	2.73526
2103_39_A	2495221	1246065	1249156	1638290	2308664	46409	652362	2.57903
2103_40_B	3369305	1683528	1685777	2255824	3120124	57153	838138	2.99266
2103_40_D	3177001	1587477	1589524	2150146	2935090	58868	758964	2.91715
2505_36_O	3037184	1517233	1519951	1975594	2802446	57117	802502	2.74945
2505_38_O	3112966	1555243	1557723	2063554	2880784	54230	793008	2.76622
2505_39_O	2983217	1490156	1493061	1922324	2752346	57024	805746	2.69341
2505_40_O	2540192	1269126	1271066	1687096	2341078	47572	632926	2.65618
2505_60_G	2353883	1176426	1177457	1591046	2194228	38167	586418	2.64696
2505_60_I	2395028	1196709	1198319	1603480	2211372	46038	586954	2.62839
2505_9_A	2973942	1486259	1487683	1980740	2744102	48610	739082	2.88067
2505_9_C	2744489	1371221	1373268	1789568	2526186	52202	713060	2.66956
MN1_1	2529445	1263572	1265873	1682778	2333368	45061	629454	2.6367
MN1_2	2315611	1156850	1158761	1529048	2140984	38398	594126	2.5564
MN1_3	2517312	1257947	1259365	1660858	2327536	41897	647442	2.58591
MN1_5	2568397	1283121	1285276	1715832	2372498	44083	636866	2.64556
MN2_1	2361338	1179691	1181647	1604162	2194900	37554	573716	2.62988
MN2_2	1609209	804432	804777	1102174	1496448	25432	382830	2.32409
MN2_3	2629377	1313345	1316032	1726644	2420870	48189	673980	2.57754
MN2_4	1785554	889823	895731	1182174	1638866	35824	443230	2.29832
MN2_5	2455664	1227086	1228578	1636946	2268038	43147	612310	2.59801
WISC_10	1717091	857933	859158	1172506	1584082	33614	397306	2.4178
WISC_1	2223936	1111236	1112700	1530534	2071550	35044	524986	2.60464
WISC_2	2677543	1337822	1339721	1768168	2473182	47016	684190	2.6272
WISC_4	2211209	1104945	1106264	1521852	2056858	34709	519316	2.61868
WISC_5	2322902	1160672	1162230	1532236	2131724	42375	581280	2.54926
WISC_6	2509700	1253883	1255817	1678096	2324778	41405	627994	2.63315
WISC_7	2169519	1084020	1085499	1448550	2004202	38249	538760	2.49349
WISC_8	3106913	1551715	1555198	2071586	2857122	56142	761098	2.84722
WISC_9	2032641	1015786	1016855	1372884	1876798	35363	488322	2.43091
