SampleID Num_reads Num_R1 Num_R2 Num_Paired Num_MateMapped Num_Singletons Num_MateMappedDiffChr Coverage_depth
2019_25_N	2923362	1459706	1463656	1816466	2566756	86192	728704	4.16001
2019_32_H	3376493	1686650	1689843	2231308	2992448	77801	735414	4.95546
2019_33_G	3013255	1504864	1508391	1997698	2679890	76450	660118	4.50153
2019_33_H	2336208	1167206	1169002	1542340	2077110	58053	517720	4.07298
2019_34_H	2317750	1157565	1160185	1506634	2045954	65769	521700	3.879
2019_34_J	3067516	1531511	1536005	1944122	2703286	82806	736722	4.51568
2019_35_F	3660925	1827690	1833235	2393220	3229396	91915	808060	5.04794
2019_35_G	2628010	1312372	1315638	1711136	2324136	73368	592910	4.21954
